Machine,Strategy,Tool_Type,Tool_Diameter,Tool_Tip_Radius,Tool_Length,Overhang,Num_of_Flutes,Gauge_Length,Holder,Tolerance,Block_X,Block_Y,Block_Z,Max_X,Min_X,Max_Y,Min_Y,Max_Z,Min_Z,Skim_Distance,Plunge_Distance,Global_Thickness,Radial_Thickness,Axial_Thickness,Cutting_Feed_Rate,Plunge_Feed_Rate,Rapid_Feed_Rate,Spindle,Cut_Length,Stepover,Stepdown,Machining_Thickness,Estimasi_Detik,Aktual_Detik
F1,Offset Area Clearance,Ball Nosed,6.0,3.0,50.5,30.0,2,114.0,MINI-MINI CHCUK MMC8-90,0.1,162.0,176.39,176.395,145.15,-5.15,108.143,-70.232,10.643,-138.65,5,2.0,0.3,0.0,0.0,1337,668.5,7000,7427,6606.72,3.0,0.3,0.3,537,932
F1,Offset Area Clearance,Ball Nosed,6.0,3.0,50.5,30.0,2,114.0,MINI-MINI CHCUK MMC8-90,0.1,162.0,176.39,176.395,145.15,-5.15,117.435,-10.643,108.143,-48.813,5,2.0,0.3,0.0,0.0,1337,668.5,7000,7427,5379.75,3.0,0.3,0.3,425,711
F1,Offset Area Clearance,Ball Nosed,6.0,3.0,50.5,30.0,2,114.0,MINI-MINI CHCUK MMC8-90,0.1,162.0,176.39,176.395,145.15,-5.15,70.232,-108.143,138.65,-10.643,5,2.0,0.3,0.0,0.0,1337,668.5,7000,7427,6838.69,3.0,0.3,0.3,557,958
F1,Offset Area Clearance,Ball Nosed,6.0,3.0,50.5,30.0,2,114.0,MINI-MINI CHCUK MMC8-90,0.1,162.0,176.39,176.395,145.15,-5.15,10.643,-138.65,70.232,-108.143,5,2.0,0.3,0.0,0.0,1337,668.5,7000,7427,6799.37,3.0,0.3,0.3,553,954
F1,Surface Machine,Ball Nosed,6.0,3.0,50.5,31.2,2,115.2,MINI-MINI CHCUK MMC8-90,0.005,144.0,181.381,181.381,146.297,-6.132,112.765,-70.893,13.347,-138.957,5,2.0,0.15,0.0,0.0,1200,600.0,7000,7000,23385.4,1.0,0.0,0.15,1423,1726
F1,Surface Machine,Ball Nosed,6.0,3.0,50.5,31.2,2,115.2,MINI-MINI CHCUK MMC8-90,0.005,144.0,181.381,181.381,146.297,-6.129,138.957,-13.225,112.738,-70.893,5,2.0,0.15,0.0,0.0,1200,600.0,7000,7000,23385.1,1.0,0.0,0.15,1419,1706
F1,Surface Machine,Ball Nosed,6.0,3.0,50.5,31.2,2,115.2,MINI-MINI CHCUK MMC8-90,0.005,144.0,181.381,181.381,146.297,-6.131,70.893,-112.756,138.957,-13.306,5,2.0,0.15,0.0,0.0,1200,600.0,7000,7000,23385.0,1.0,0.0,0.15,1419,1716
F1,Surface Machine,Ball Nosed,6.0,3.0,50.5,31.2,2,115.2,MINI-MINI CHCUK MMC8-90,0.005,144.0,181.381,181.381,146.297,-6.131,11.942,-138.62,69.909,-113.459,5,2.0,0.15,0.0,0.0,1200,600.0,7000,7000,23385.1,1.0,0.0,0.15,1376,1696
PRO,Constant Z,End Mill,6.0,0.0,40.0,25.2,2,109.7,MINI-MINI CHCUK MMC8-90,0.005,300.0,150.0,0.5,210.451,-21.999,73.552,-37.447,-16.5,-50.0,5,2.0,0.0,0.0,0.0,1400,700.0,7000,6000,801.139,0.0,0.5,0.0,38,60
PRO,Offset Area Clearance,End Mill,6.0,0.0,40.0,18.6,2,103.1,MINI-MINI CHCUK MMC8-90,0.1,250.0,110.0,15.35,94.113,-4.649,10.965,-4.633,-0.15,-50.0,5,2.0,0.0,0.3,0.15,1000,500.0,7000,5000,3541.58,3.0,0.25,0.3,330,422
PRO,Constant Z,End Mill,6.0,0.0,40.0,18.6,2,103.1,MINI-MINI CHCUK MMC8-90,0.11,250.0,110.0,4.35,191.518,94.113,54.621,-18.522,-0.161,-50.0,5,2.0,0.0,0.4,0.0,1000,500.0,7000,6000,918.917,0.0,0.25,0.4,57,297
PRO,Constant Z,End Mill,6.0,0.0,40.0,18.6,2,103.1,MINI-MINI CHCUK MMC8-90,0.05,250.0,110.0,15.35,191.798,21.38,54.894,-18.787,-0.155,-50.0,5,2.0,0.0,0.15,0.0,1800,900.0,7000,6000,9149.88,0.0,0.5,0.15,307,328
